x n1 n4 n25 cauchy
3.43 0.00111222970727 4.8203409896e-11 2.70390042073e-64 0.0249363399779
3.44 0.00107467334015 4.20151288141e-11 1.14561926185e-64 0.0248028523706
3.45 0.00103828129566 3.66066443403e-11 4.84177032676e-65 0.0246704038895
3.46 0.00100302130073 3.18816230318e-11 2.04118480054e-65 0.0245389841025
3.47 0.00096886184292 2.77553818876e-11 8.58370395589e-66 0.0244085827039
3.48 0.000935772156927 2.41535112592e-11 3.60065407636e-66 0.0242791895124
3.49 0.000903722211278 2.10106565397e-11 1.50661515712e-66 0.0241507944692
3.5 0.000872682695046 1.82694408167e-11 6.28836191439e-67 0.0240233876365
3.51 0.000842625004707 1.587951261e-11 2.61810457114e-67 0.0238969591958
3.52 0.000813521231082 1.3796704555e-11 1.08730331715e-67 0.0237714994462
3.53 0.000785344146392 1.19822904427e-11 4.50431444417e-68 0.0236469988027
3.54 0.000758067191429 1.04023294151e-11 1.86131960797e-68 0.0235234477951
3.55 0.00073166446283 9.02708735441e-12 7.67233341884e-69 0.0234008370655
3.56 0.000706110700488 7.8305266109e-12 3.1546286778e-69 0.0232791573678
3.57 0.000681381275067 6.78985620096e-12 1.29384809298e-69 0.0231583995652
3.58 0.000657452175655 5.88513548939e-12 5.29337420682e-70 0.0230385546296
3.59 0.000634299997539 5.0989251534e-12 2.16021097127e-70 0.0229196136393
3.6 0.000611901930114 4.41597992627e-12 8.79374771298e-71 0.0228015677782
3.61 0.000590235744923 3.82297824172e-12 3.57080471876e-71 0.022684408334
3.62 0.000569279783834 3.30828445432e-12 1.44634687637e-71 0.0225681266969
3.63 0.000549012947357 2.86173980494e-12 5.84376963939e-72 0.0224527143581
3.64 0.000529414683095 2.47447873888e-12 2.35520100154e-72 0.0223381629087
3.65 0.000510464974344 2.13876757431e-12 9.46841164107e-73 0.022224464038
3.66 0.000492144328833 1.84786286513e-12 3.79699956921e-73 0.0221116095323
3.67 0.000474433767607 1.59588710975e-12 1.51886169251e-73 0.021999591274
3.68 0.00045731481406 1.37771973048e-12 6.06052397454e-74 0.0218884012394
3.69 0.000440769483115 1.18890149017e-12 2.41221704617e-74 0.0217780314984
3.7 0.000424780270551 1.02555072736e-12 9.57716245836e-75 0.0216684742126
3.71 0.000409330142478 8.84289981543e-13 3.79290172872e-75 0.0215597216345
3.72 0.000394402524969 7.62181748445e-13 1.49837524909e-75 0.0214517661058
3.73 0.000379981293835 6.566722544e-13 5.90450988838e-76 0.0213446000566
3.74 0.000366050764557 5.65542270844e-13 2.32092647069e-76 0.0212382160041
3.75 0.000352595682367 4.86864106606e-13 9.10024685221e-77 0.0211326065516
3.76 0.000339601212484 4.18964018807e-13 3.55925601962e-77 0.0210277643869
3.77 0.000327052930496 3.60389374315e-13 1.38860762959e-77 0.0209236822817
3.78 0.000314936812908 3.09879974126e-13 5.40398493727e-78 0.0208203530902
3.79 0.000303239227822 2.66343024093e-13 2.09779466366e-78 0.0207177697479
3.8 0.000291946925791 2.28831298036e-13 8.12318018387e-79 0.020615925271
3.81 0.00028104703081 1.9652409453e-13 3.13764251257e-79 0.0205148127547
3.82 0.000270527031462 1.68710637328e-13 1.20891314146e-79 0.0204144253729
3.83 0.000260374772218 1.44775612277e-13 4.6462331626e-80 0.0203147563762
3.84 0.000250578444891 1.24186571324e-13 1.781234777e-80 0.0202157990921
3.85 0.000241126580226 1.06482967445e-13 6.81170129317e-81 0.0201175469227
3.86 0.000232008039657 9.12666135568e-14 2.59838971234e-81 0.0200199933447
3.87 0.0002232120072 7.81933841466e-14 9.88706171313e-82 0.0199231319082
3.88 0.0002147279815 6.69660009619e-14 3.75270534323e-82 0.0198269562353
3.89 0.000206545768023 5.73277639068e-14 1.42080981987e-82 0.0197314600197
3.9 0.000198655471393 4.90571057139e-14 5.36588917034e-83 0.0196366370255
3.91 0.000191047487875 4.19628642344e-14 2.02144398023e-83 0.0195424810864
3.92 0.000183712498002 3.58801795826e-14 7.59619292398e-84 0.0194489861047
3.93 0.000176641459348 3.06669351203e-14 2.84737407036e-84 0.0193561460504
3.94 0.000169825599429 2.62006715539e-14 1.06465115417e-84 0.0192639549604
3.95 0.000163256408766 2.23759124287e-14 3.97085836321e-85 0.0191724069377
3.96 0.000156925634066 1.91018471971e-14 1.47732391233e-85 0.0190814961505
3.97 0.000150825271551 1.63003249348e-14 5.48253385678e-86 0.0189912168311
3.98 0.000144947560424 1.39041178194e-14 2.02955666325e-86 0.0189015632754
3.99 0.000139284976466 1.18554187586e-14 7.49437298071e-87 0.0188125298422
4 0.000133830225765 1.01045421671e-14 2.76047418108e-87 0.018724110952
